Global Variable,RESOLVE-TYPE-TO-LLVM,FIND-TEMPLATE-ROBUST,ENCODE-ADDRESS-SPACE,VALID-TYPE-P,%VALIDATE-TEMPLATE-INSTANTIATION,%INSTANTIATE-TEMPLATE-IF-NEEDED,VALID-BASIC-TYPE-P,GET-TEMPLATE-ARITY,TYPES-EQUIVALENT-P,CANONICALIZE-TYPE-SPECIFIER,INITIALIZE-CRISP-TYPES,DEF-EXPRESSION-ANALYZER,REGISTER-SET-DERIVED,REGISTER-DERIVED-TYPE,COMPUTE-BASE-TYPE,RESOLVE-DOMINANCE,GET-REACHABLE-TYPES,GET-TYPE-BASE,HAS-ANCESTOR-PATH?,CREATE-NUMERIC-HIERARCHY,CREATE-ROOT-TYPE-NODE,INITIALIZE-TYPE-HIERARCHY,FIND-BRAND-FOR-OWNER,RESOLVE-BRAND-TYPE,REGISTER-BRAND-DEFINITION,IS-BRAND-TYPE-P,BRAND-ACTIVE-P,RESOLVE-BEST-SIGNATURE,TYPES-COMPATIBLE-P,GET-PROMOTED-TYPE,ENSURE-TEMPLATE-INSTANTIATION,%RESOLVE-TEMPLATE-NAME,TRY-INFER-TEMPLATE-TYPES,%DISPATCH-INCOMPLETE-TEMPLATE,%INSTANTIATE-STRUCTURE-TEMPLATE,INSTANTIATE-TEMPLATE,INITIALIZE-TEMPLATES,MATCH-TEMPLATE-ARG,GET-TEMPLATE-SIGNATURE,REGISTER-TEMPLATE,FINALIZE-STRUCT-DEFINITIONS,REGISTER-STRUCT-DEFINITION,LOOKUP-STRUCT-DEFINITION,FIND-STRUCT-DEFINITION-BY-NAME,ENSURE-STRUCT-LLVM-TYPE,GET-NATIVE-SIZE,GET-NATIVE-BASE-ALIGNMENT,%BWD-FIXUP-DECLARED-TYPES,SERIALIZE-KERNELS,GENERATE-IMPLICIT-SIGNATURE,GENERATE-METADATA-FOR-FILE,SERIALIZE-STRUCTS,%SERIALIZE-RECORDS,SERIALIZE-ALIASES,COLLECT-KERNEL-DEPENDENCIES,%ENUMERATE-PHYSICAL-TYPES,%USER-RECORD-TYPE-P,DEFINE-FORWARD-ONLY-VALIDATOR,RECONSTRUCT-TEMPLATE-ARGS,RECONSTRUCT-ONE-ARG,COMPILE-FILES,SET-DERIVED,R-T-ASSERT,DEF-DERIVED-TYPE,DEF-TYPE,WITH-STRUCT-ACCESSORS,DEF-GRID-FUNCTION,DEF-KERNEL,%GENERATE-BACKWARD-KERNEL-AST,%CHECK-DIFFERENTIATE-KERNEL-SIGNATURE,%EXPLODE-KERNEL-ARGS,%RESOLVE-ALIAS-STRICT-CHECKED,DEF-KERNEL-EXACT,STRICT-VALID-TYPE-P,WITH-PEEK-SCRATCH-COUNTER,RESOLVE-TYPE-ALIAS,GENERATE-L0-LAUNCHER,%FIND-STRUCT-DEF-L0,PARSE-TYPE-SPECIFIER,DETECT-AND-REGISTER-IMPLICIT-TEMPLATE,SCAN-FOR-CARRIERS,INJECT-IMPLICIT-ARGUMENTS,REGISTER-OVERLOAD,%REGISTER-STANDARD-FUNCTION,%REGISTER-GENERIC-FUNCTION,INSTANTIATE-GENERIC-FUNCTION,PARSE-FUNCTION-DECLARATIONS,DEF-ENUMERATION,INITIALIZE-COMPILER,REGISTER-BUILTINS,COMPILE-TO-SPIRV,IMPLODE-VALUE,EXPLODE-VALUE,GET-EXPANDED-TYPES,%RECORD-BASE-FROM-LIST-FORM,CRISP-TYPE-TO-LLVM-TYPE,%DVEC-COERCE-ELEMENT-IR,%GENERATE-LET-BINDING,DEF-COMPARISON-CODEGEN,GENERATE-COMPARISON-IR,DEF-UNARY-MATH-CODEGEN,DEF-BINARY-OP-CODEGEN,BUILD-CAST-IF-NEEDED,%GENERATE-TENSOR-SCRATCH-LITERAL-IR,%GENERATE-CELL-LITERAL-IR,RESOLVE-KEYWORD-CONSTANT,GENERATE-NODE-IR,GENERATE-FUNCTION-PROTOTYPE,ENSURE-OPENCL-KERNEL-METADATA,INITIALIZE-FUNCTION-PARAMETERS,GENERATE-DEBUG-INFO,%CRISP-STRUCT-TYPE-P,%INTEGER-SCALAR-TO-FLOAT-SCALAR,%CRISP-INTEGER-SCALAR-TYPE-P,%INTEGER-TENSOR-ELEM-TO-FLOAT,%CRISP-INTEGER-TENSOR-TYPE-P,%GENERATE-BACKWARD-FUNCTION-WALK,%GENERATE-BACKWARD-FUNCTION-AST,%RECORD-ACCESSOR-SYSTEM-GENERATED-P,%GET-RECORD-RUNTIME-FIELDS,%CRISP-RECORD-TYPE-P,%CRISP-FLOAT-TYPE-P,GENERATE-BACKWARD-WALK,%HANDLE-SINGLE-VALUE-BACKWARD,%EMIT-SUB-FN-BACKWARD,ANF-TRANSFORM,ANF-FRESH-TEMP,%MV-IS-STRUCT-ELEM,ANALYZE-SCRATCH-TENSOR-EXPRESSION,%REGISTER-SCRATCH-TENSOR-IMPLICIT,ANALYZE-SCRATCH-EXPRESSION,ANALYZE-INCOMPLETE-TYPE-ACCESSOR,ANALYZE-SET!-EXPRESSION,ANALYZE-AREF-EXPRESSION,NUMERIC-TYPE-CATEGORY,REGISTER-OPS-ANALYZERS,%ANALYZE-ATOMIC-RMW-EXPRESSION,ANALYZE-GENERIC-AS-EXPRESSION,ANALYZE-VALUE-CAST-EXPRESSION,ANALYZE-CAST-EXPRESSION,DEF-UNARY-MATH-ANALYZER,DEF-BINARY-OP-ANALYZER,ANALYZE-DVEC-COMPONENT-REF,%DVEC-TYPE-LOOKUP,%PRE-REGISTER-HOF-TEMPLATES,%PRE-REGISTER-DIFFERENTIABLE-FNS,%REGISTER-STANDARD-DIFFERENTIABLE-ENTRY,%REGISTER-HOF-ENTRY,COMPILE-CRISP-FORM-TO-IR-STRING,ANALYZE-FUNCTION-CALL,ANALYZE-EXPRESSION,INTERNAL-DEF-FUNCTION,%CHECK-AREF-BOUNDARY-MUTATION,%CHECK-STRUCT-MUTATING-CALL,%CHECK-STRUCT-BOUNDARY-MUTATION,%BOUNDARY-STRUCT-TYPE-P,INTERNAL-COMPILE-FUNCTION,DETECT-CYCLE-FROM-NODE,CHECK-FOR-RECURSION-CYCLES,COMPILE-TOPLEVEL-FORM,COMPILE-FORMS-PASS,ANALYZE-SIGNATURES-PASS,COMPILE-DEF-FUNCTION,%COMPILE-STANDARD-FUNCTION,SHALLOW-ANALYZE-BODY,SCAN-OPERATOR,SINGLE-PASS-MODE-P,MULTI-PASS-MODE-P,PROPAGATE-IMPLICIT-ARGUMENTS,COMPILE-MODULE,INITIALIZE-EXPRESSION-ANALYZERS,ANALYZE-%VOLATILE-READ-EXPRESSION,%ANALYZE-GPU-BUILTIN,REGISTER-WARP-BUILTINS,ANALYZE-CRISP-DVEC-LITERAL,%DVEC-FLOAT-TYPE-P,%DVEC-INTEGRAL-TYPE-P,REGISTER-CONTROL-ANALYZERS,ANALYZE-AWAIT-REQUEST-EXPRESSION,ANALYZE-REQUEST-LOAD-TILE-COORDS-EXPRESSION,ANALYZE-DOTIMES-EXPRESSION,ANALYZE-FUNCALL-EXPRESSION,ANALYZE-FUNCTION-LITERAL,ANALYZE-RETURN-EXPRESSION,ANALYZE-PROGN-EXPRESSION,ANALYZE-LET-EXPRESSION,%CHECK-CONTEXT-DECLARATIONS,ANALYZE-IF-EXPRESSION-IMPL,%TLC-CHECK-NOT-DIVERGENT
*RESOLVE-DEPTH*,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*EXPRESSION-ANALYZERS*,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RW,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,W,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,W,,,W,,,,W,,,,R,,,,,,,
*CRISP-ENUMS*,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*PENDING-STRUCT-DEFINITIONS*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RW,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,
*DEFER-STRUCT-VALIDATION*,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,
*CRISP-TEMPLATE-ALIASES*,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,R,,R,,,,,R,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CRISP-TYPE-ALIASES*,R,,,R,,,,,,,,,,R,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,W,,,,,,,R,,R,,R,,,R,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CRISP-STRUCTS*,,,,,R,,,,,,,,R,R,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,W,R,R,,R,R,,,,,R,R,,R,,,,,,,,,R,,R,,,,,,,,R,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*CRISP-TYPES*,R,,,,,,R,,,,W,,R,RW,,,,,,,,,,R,R,,,,,R,,,,,,,,,,,,W,,,,,,,,,,R,R,,,R,R,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,R,R,R,R,,R,,R,R,R,R,R,,,,R,R,,,R,R,R,R,R,R,,,,,R,R,,,,,,R,,,R,R,,,R,R,R,R,R,R,R,R,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,R,R,R,,,,R,,,,,,,,
*TARGET-BACKEND*,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,
*COMPILED-KERNELS*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*DIFFERENTIATE-P*,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,W,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,R,,,,,,,,,,R,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,
*BRAND-DEFINITIONS*,,,,,,,,,,,,,,,,,,,,,,,R,,W,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*RUNTIME-CHECKS-ENABLED*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ORIGINATOR-FUNCTIONS*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,R,W,,,,,,,,,,,,,,,,,,,
*SIDE-CHANNEL-ORIGINATORS*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*INSTANTIATED-TEMPLATES*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RW,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
