Global Variable,RESOLVE-TYPE-TO-LLVM,INITIALIZE-CRISP-TYPES,DEF-EXPRESSION-ANALYZER,REGISTER-DERIVED-TYPE,CREATE-NUMERIC-HIERARCHY,CREATE-ROOT-TYPE-NODE,INITIALIZE-TYPE-HIERARCHY,ENSURE-TEMPLATE-INSTANTIATION,INITIALIZE-TEMPLATES,REGISTER-TEMPLATE,FINALIZE-STRUCT-DEFINITIONS,REGISTER-STRUCT-DEFINITION,COMPILE-FILES,DEF-DERIVED-TYPE,DEF-TYPE,DEF-KERNEL,WITH-PEEK-SCRATCH-COUNTER,DETECT-AND-REGISTER-IMPLICIT-TEMPLATE,SCAN-FOR-CARRIERS,REGISTER-OVERLOAD,%REGISTER-STANDARD-FUNCTION,%REGISTER-GENERIC-FUNCTION,INSTANTIATE-GENERIC-FUNCTION,DEF-ENUMERATION,INITIALIZE-COMPILER,%GENERATE-CELL-LITERAL-IR,GENERATE-FUNCTION-PROTOTYPE,ANALYZE-SCRATCH-EXPRESSION,ANALYZE-SET!-EXPRESSION,REGISTER-OPS-ANALYZERS,COMPILE-CRISP-FORM-TO-IR-STRING,ANALYZE-FUNCTION-CALL,INTERNAL-DEF-FUNCTION,COMPILE-TOPLEVEL-FORM,COMPILE-FORMS-PASS,ANALYZE-SIGNATURES-PASS,SHALLOW-ANALYZE-BODY,SCAN-OPERATOR,PROPAGATE-IMPLICIT-ARGUMENTS,COMPILE-MODULE,INITIALIZE-EXPRESSION-ANALYZERS
*RESOLVE-DEPTH*,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*EXPRESSION-ANALYZERS*,,,W,,,,,,,,,,,W,,,,,,,,,,,,,,,,W,,,,,,,,,,R,W
*CRISP-ENUMS*,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,
*PENDING-STRUCT-DEFINITIONS*,,,,,,,,,,,RW,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,
*DEFER-STRUCT-VALIDATION*,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,
*CRISP-TEMPLATE-ALIASES*,,,,,,,,,,,,,,,W,,,,,,,,,,W,,,,,,,,,,,,,,,,
*CRISP-TYPE-ALIASES*,R,,,R,,,,,,,,,,,W,,,,,,,,,,W,,,,,,,,,,,,,,,,
*CRISP-STRUCTS*,,,,R,,,,,,,,W,,R,,,,,,,,,,,W,,,,,,,,,,,,,,,,
*CRISP-TYPES*,R,W,,RW,,,,,,,,W,,,,,,,,,,,,,,,R,R,,R,,,,,,,,,,R,
*TARGET-BACKEND*,,,,,,,,,,,,,W,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
*COMPILED-KERNELS*,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,
*RUNTIME-CHECKS-ENABLED*,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,
