Global Variable,RESOLVE-TYPE-TO-LLVM,INITIALIZE-CRISP-TYPES,DEF-EXPRESSION-ANALYZER,ENSURE-TEMPLATE-INSTANTIATION,INITIALIZE-TEMPLATES,REGISTER-TEMPLATE,FINALIZE-STRUCT-DEFINITIONS,REGISTER-STRUCT-DEFINITION,COMPILE-FILES,DEF-TYPE,DEF-KERNEL,DETECT-AND-REGISTER-IMPLICIT-TEMPLATE,SCAN-FOR-CARRIERS,REGISTER-OVERLOAD,%REGISTER-STANDARD-FUNCTION,%REGISTER-GENERIC-FUNCTION,INSTANTIATE-GENERIC-FUNCTION,DEF-ENUMERATION,INITIALIZE-COMPILER,GENERATE-FUNCTION-PROTOTYPE,ANALYZE-SCRATCH-EXPRESSION,ANALYZE-SET!-EXPRESSION,REGISTER-OPS-ANALYZERS,COMPILE-CRISP-FORM-TO-IR-STRING,ANALYZE-FUNCTION-CALL,INTERNAL-COMPILE-FUNCTION,COMPILE-TOPLEVEL-FORM,COMPILE-FORMS-PASS,ANALYZE-SIGNATURES-PASS,%COMPILE-STANDARD-FUNCTION,SHALLOW-ANALYZE-BODY,SCAN-OPERATOR,PROPAGATE-IMPLICIT-ARGUMENTS,COMPILE-MODULE,INITIALIZE-EXPRESSION-ANALYZERS,ANALYZE-TEMPLATE-INSTANTIATION
*RESOLVE-DEPTH*,RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*EXPRESSION-ANALYZERS*,,,W,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,R,W,
*CRISP-ENUMS*,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,
*PENDING-STRUCT-DEFINITIONS*,,,,,,,RW,W,,,,,,,,,,,,,,,,,,,,,,,,,,W,,
*DEFER-STRUCT-VALIDATION*,W,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,W,,
*CRISP-TEMPLATE-ALIASES*,,,,,,,,,,W,,,,,,,,,W,,,,,,,,,,,,,,,,,
*CRISP-TYPE-ALIASES*,R,,,,,,,,,W,,,,,,,,,W,,,,,,,,,,,,,,,,,
*CRISP-STRUCTS*,,,,,,,,W,,,,,,,,,,,W,,,,,,,,,,,,,,,,,
*CRISP-TYPES*,R,W,,,,,,W,,,,,,,,,,,,R,R,,R,,,,,,,,,,,R,,
*TARGET-BACKEND*,,,,,,,,,W,,,,,,,,,,,R,,,,,,,,,,,,,,,,
*COMPILED-KERNELS*,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,
*CURRENT-FUNCTION-DECLARATIONS*,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,
*ALLOW-NESTED-DEF-FUNCTION*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
*CURRENT-LOCATION-MAP*,R,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,,,,
*CURRENT-DI-COMPILE-UNIT*,R,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,,,,
*CURRENT-DI-BUILDER*,R,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,,,,
*CURRENT-BUILDER*,R,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,,,,
*CURRENT-MODULE*,R,,,R,,,,,,,,,,,,,,,,,,,,W,,,W,W,,,,,,,,
*CURRENT-COMPILING-FUNCTION*,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,RW,,,,,,
*RUNTIME-CHECKS-ENABLED*,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,
*IMPLICIT-ARG-MAP*,,,,,,,,,,,,,RW,,,,,,W,,W,,,,RW,,,,,,,W,RW,W,,
*ORIGINATOR-FUNCTIONS*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,R,W,,
*SIDE-CHANNEL-ORIGINATORS*,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,
*INSTANTIATED-TEMPLATES*,,,,RW,W,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,
*TEMPLATE-INSTANTIATOR-FN*,,,,,W,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,
*CALL-GRAPH*,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,W,,,,R,W,,
*SINGLE-PASS-CALL-STACK*,,,,,,,,,W,,,,,,,,,,,,,,,,R,,,,,W,,,,,,
*FUNCTION-TABLE*,,,,,,,,,,,,W,,RW,RW,,RW,,W,,,R,,,,R,,,,,,,,,,
*GENERIC-FUNCTIONS*,,,,,,,,,,,,,,,,W,,,W,,,,,,,,,,,,,,,,,
*RECORD-DEFINITIONS*,,,,,,,,,,,,,,,,,,,RW,,,,,,,,,,,,,,,,,
*STRUCT-NAME-PREFIX*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*EMIT-METADATA*,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,
*TEMPLATE-ARITY-LOOKUP-FN*,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*KERNEL-DECLARED-SIGNATURES*,,,,,,,,,,,W,,,,,,,,W,,,,,,,,,,,,,,,,,
*TEMPLATE-REGISTRY*,,,,R,RW,RW,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,
*CACHED-INT64-TYPE*,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,
*CACHED-INT32-TYPE*,,,,,,,,,,,,,,,,,,,,RW,,,,,,,,,,,,,,,,
*SCAN-IS-ORIGINATOR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RW,W,,,,
*SCAN-CALLEES*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RW,R,,,,
*SCANNING-FUNCTION-NAME*,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,W,,,R,,,,
*ANALYSIS-ACCESS-MODE*,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,
